
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-03-09 09:31:34 ....................................................................................... ~ 7m 9s
  2026-03-09 09:39:19 /api/login ............................................................................... ~ 1s
  2026-03-09 09:39:21 /api/login ............................................................................... ~ 2s
  2026-03-09 09:39:27 /api/login ......................................................................... ~ 518.51ms
  2026-03-09 09:39:28 /api/login ............................................................................... ~ 1s
  2026-03-09 09:39:29 /api/analytics/summary ............................................................. ~ 511.11ms
  2026-03-09 09:39:30 /api/analytics/fuel ................................................................ ~ 507.52ms
  2026-03-09 09:39:30 /api/analytics/maintenance ............................................................... ~ 1s
  2026-03-09 09:39:31 /api/vehiculos ........................................................................... ~ 1s
  2026-03-09 09:39:31 /api/analytics/fuel-stock ................................................................ ~ 1s
  2026-03-09 09:39:32 /api/analytics/summary ................................................................... ~ 1s
  2026-03-09 09:39:32 /api/analytics/fuel ...................................................................... ~ 1s
  2026-03-09 09:39:33 /api/analytics/maintenance ............................................................... ~ 1s
  2026-03-09 09:39:34 /api/vehiculos ........................................................................... ~ 1s
  2026-03-09 09:39:34 /api/analytics/fuel-stock ................................................................ ~ 2s
  2026-03-09 09:44:25 /api/productos ........................................................................... ~ 1s
  2026-03-09 09:44:26 /api/productos ........................................................................... ~ 2s
  2026-03-09 09:44:28 /api/empleados ..................................................................... ~ 502.42ms
  2026-03-09 09:44:29 /api/empleados ..................................................................... ~ 515.38ms
  2026-03-09 09:44:36 /api/vehiculos ..................................................................... ~ 516.86ms
  2026-03-09 09:44:36 /api/empleados ..................................................................... ~ 515.10ms
  2026-03-09 09:44:36 /api/empleados ........................................................................... ~ 1s
  2026-03-09 09:44:37 /api/vehiculos ........................................................................... ~ 1s
  2026-03-09 09:44:37 /api/productos ........................................................................... ~ 2s
  2026-03-09 09:44:38 /api/empleados ........................................................................... ~ 2s
  2026-03-09 09:44:39 /api/empleados ........................................................................... ~ 2s
  2026-03-09 09:44:41 /api/productos ........................................................................... ~ 2s
  2026-03-09 09:44:43 /api/empleados ........................................................................... ~ 1s
  2026-03-09 09:44:44 /api/empleados ..................................................................... ~ 517.44ms
